customer_key,customer_business_key,first_name,last_name,country,valid_from,valid_to,is_current,version
1,643700,Aaron,HARRIS,Canada,2026-01-30 00:03:11.105455,,True,1
2,854019,Aaron,SIMON,Italy,2026-01-30 00:03:11.105455,,True,1
3,487177,Aaron,WEBB,Luxembourg,2026-01-30 00:03:11.105455,,True,1
4,598551,Aaron,FROST,South Africa,2026-01-30 00:03:11.105455,,True,1
5,814912,Aaron,HERNANDEZ,Switzerland,2026-01-30 00:03:11.105455,,True,1
6,421187,Aaron,ROMERO,Hong Kong,2026-01-30 00:03:11.105455,,True,1
7,939997,Aaron,SMITH,Luxembourg,2026-01-30 00:03:11.105455,,True,1
8,248590,Aaron,VEGA,Poland,2026-01-30 00:03:11.105455,,True,1
9,717896,Abigail,BRYANT,Switzerland,2026-01-30 00:03:11.105455,,True,1
10,709064,Adam,HANSEN,Germany,2026-01-30 00:03:11.105455,,True,1
11,222001,Adam,DIXON,Poland,2026-01-30 00:03:11.105455,,True,1
12,910068,Adam,HOWELL,Italy,2026-01-30 00:03:11.105455,,True,1
13,686849,Adam,WATSON,USA,2026-01-30 00:03:11.105455,,True,1
14,170843,Adam,WILLIAMS,Poland,2026-01-30 00:03:11.105455,,True,1
15,501800,Adriana,TRAVIS,USA,2026-01-30 00:03:11.105455,,True,1
16,837399,Adrienne,ROBERTS,Germany,2026-01-30 00:03:11.105455,,True,1
17,316280,Aimee,ROBINSON,Hong Kong,2026-01-30 00:03:11.105455,,True,1
18,913700,Alan,BARRETT,Italy,2026-01-30 00:03:11.105455,,True,1
19,911104,Alan,FREEMAN,Switzerland,2026-01-30 00:03:11.105455,,True,1
20,811119,Alan,RICHMOND,Luxembourg,2026-01-30 00:03:11.105455,,True,1
21,861706,Alan,JOHNSON,Luxembourg,2026-01-30 00:03:11.105455,,True,1
22,701423,Albert,CONTRERAS,Switzerland,2026-01-30 00:03:11.105455,,True,1
23,569502,Albert,WALLACE,South Africa,2026-01-30 00:03:11.105455,,True,1
24,974398,Alejandro,BROWN,Luxembourg,2026-01-30 00:03:11.105455,,True,1
25,752284,Alex,MCGEE,Switzerland,2026-01-30 00:03:11.105455,,True,1
26,587672,Alex,RIVERA,Luxembourg,2026-01-30 00:03:11.105455,,True,1
27,852489,Alexa,CONTRERAS,Germany,2026-01-30 00:03:11.105455,,True,1
28,703937,Alexander,DOMINGUEZ,Latvia,2026-01-30 00:03:11.105455,,True,1
29,201442,Alexander,NORMAN,Hong Kong,2026-01-30 00:03:11.105455,,True,1
30,944894,Alexander,BLACK,USA,2026-01-30 00:03:11.105455,,True,1
31,113306,Alexander,HUBER,Hong Kong,2026-01-30 00:03:11.105455,,True,1
32,983329,Alexander,REILLY,Poland,2026-01-30 00:03:11.105455,,True,1
33,989751,Alexandra,BECKER,Switzerland,2026-01-30 00:03:11.105455,,True,1
34,976442,Alexis,MURPHY,Poland,2026-01-30 00:03:11.105455,,True,1
35,704475,Alexis,THOMPSON,Germany,2026-01-30 00:03:11.105455,,True,1
36,979684,Alexis,FROST,Italy,2026-01-30 00:03:11.105455,,True,1
37,250668,Alexis,LAWSON,Luxembourg,2026-01-30 00:03:11.105455,,True,1
38,430587,Alfred,KELLER,Germany,2026-01-30 00:03:11.105455,,True,1
39,857014,Alicia,TERRY,Italy,2026-01-30 00:03:11.105455,,True,1
40,153494,Alisha,EVANS,Hong Kong,2026-01-30 00:03:11.105455,,True,1
41,712348,Alisha,JIMENEZ,Italy,2026-01-30 00:03:11.105455,,True,1
42,774046,Alison,BENDER,South Africa,2026-01-30 00:03:11.105455,,True,1
43,451747,Alison,NELSON,Latvia,2026-01-30 00:03:11.105455,,True,1
44,807519,Allison,KELLY,USA,2026-01-30 00:03:11.105455,,True,1
45,595714,Allison,LONG,Poland,2026-01-30 00:03:11.105455,,True,1
46,320552,Allison,NUNEZ,Switzerland,2026-01-30 00:03:11.105455,,True,1
47,511933,Allison,DOUGLAS,USA,2026-01-30 00:03:11.105455,,True,1
48,616002,Allison,KLINE,Italy,2026-01-30 00:03:11.105455,,True,1
49,929601,Alvin,BRYANT,Poland,2026-01-30 00:03:11.105455,,True,1
50,939618,Alyssa,BRYANT,Poland,2026-01-30 00:03:11.105455,,True,1
51,637764,Alyssa,PALMER,Canada,2026-01-30 00:03:11.105455,,True,1
52,712921,Alyssa,CASTILLO,Poland,2026-01-30 00:03:11.105455,,True,1
53,853352,Alyssa,RICHARDSON,Canada,2026-01-30 00:03:11.105455,,True,1
54,346558,Amanda,BRADY,Hong Kong,2026-01-30 00:03:11.105455,,True,1
55,682072,Amanda,BROOKS,Canada,2026-01-30 00:03:11.105455,,True,1
56,128165,Amanda,CARTER,Luxembourg,2026-01-30 00:03:11.105455,,True,1
57,681102,Amanda,GORDON,Luxembourg,2026-01-30 00:03:11.105455,,True,1
58,832429,Amanda,HOFFMAN,Canada,2026-01-30 00:03:11.105455,,True,1
59,876154,Amanda,SMITH,Italy,2026-01-30 00:03:11.105455,,True,1
60,340456,Amanda,SMITH,Latvia,2026-01-30 00:03:11.105455,,True,1
61,471835,Amanda,THOMPSON,Poland,2026-01-30 00:03:11.105455,,True,1
62,625442,Amanda,YU,Poland,2026-01-30 00:03:11.105455,,True,1
63,665295,Amanda,COLLINS,Germany,2026-01-30 00:03:11.105455,,True,1
64,124048,Amanda,COMBS,Italy,2026-01-30 00:03:11.105455,,True,1
65,123890,Amanda,HALEY,Poland,2026-01-30 00:03:11.105455,,True,1
66,247820,Amanda,HANEY,Hong Kong,2026-01-30 00:03:11.105455,,True,1
67,111233,Amanda,HERNANDEZ,Germany,2026-01-30 00:03:11.105455,,True,1
68,716369,Amanda,MARTINEZ,Luxembourg,2026-01-30 00:03:11.105455,,True,1
69,735540,Amanda,WALL,Latvia,2026-01-30 00:03:11.105455,,True,1
70,202093,Amber,BRADSHAW,Luxembourg,2026-01-30 00:03:11.105455,,True,1
71,660209,Amber,HALE,South Africa,2026-01-30 00:03:11.105455,,True,1
72,536773,Amber,JUAREZ,USA,2026-01-30 00:03:11.105455,,True,1
73,421862,Amber,WILSON,Germany,2026-01-30 00:03:11.105455,,True,1
74,407759,Amber,FRAZIER,Luxembourg,2026-01-30 00:03:11.105455,,True,1
75,534569,Amy,TAYLOR,Hong Kong,2026-01-30 00:03:11.105455,,True,1
76,793425,Amy,WALL,USA,2026-01-30 00:03:11.105455,,True,1
77,378363,Amy,BROCK,Canada,2026-01-30 00:03:11.105455,,True,1
78,192209,Amy,CAMPBELL,South Africa,2026-01-30 00:03:11.105455,,True,1
79,975152,Amy,DAVIDSON,Germany,2026-01-30 00:03:11.105455,,True,1
80,908712,Amy,FOX,Canada,2026-01-30 00:03:11.105455,,True,1
81,604627,Amy,GONZALES,Luxembourg,2026-01-30 00:03:11.105455,,True,1
82,678052,Amy,GOODMAN,Switzerland,2026-01-30 00:03:11.105455,,True,1
83,370138,Amy,HARPER,Poland,2026-01-30 00:03:11.105455,,True,1
84,997635,Amy,HERNANDEZ,Switzerland,2026-01-30 00:03:11.105455,,True,1
85,735098,Amy,KNIGHT,South Africa,2026-01-30 00:03:11.105455,,True,1
86,144844,Amy,MARSHALL,Switzerland,2026-01-30 00:03:11.105455,,True,1
87,179766,Amy,SMITH,Switzerland,2026-01-30 00:03:11.105455,,True,1
88,159070,Amy,WEBER,Latvia,2026-01-30 00:03:11.105455,,True,1
89,479659,Ana,ALLEN,South Africa,2026-01-30 00:03:11.105455,,True,1
90,639859,Ana,JUAREZ,Poland,2026-01-30 00:03:11.105455,,True,1
91,865905,Andre,BARRON,Germany,2026-01-30 00:03:11.105455,,True,1
92,638519,Andre,LE,Italy,2026-01-30 00:03:11.105455,,True,1
93,859009,Andrea,BRIDGES,Switzerland,2026-01-30 00:03:11.105455,,True,1
94,727746,Andrea,ROTH,Switzerland,2026-01-30 00:03:11.105455,,True,1
95,261399,Andrea,TAYLOR,Canada,2026-01-30 00:03:11.105455,,True,1
96,802805,Andrea,WILLIAMS,Poland,2026-01-30 00:03:11.105455,,True,1
97,548793,Andrea,DAVIS,Hong Kong,2026-01-30 00:03:11.105455,,True,1
98,939406,Andrea,GREEN,Hong Kong,2026-01-30 00:03:11.105455,,True,1
99,457956,Andres,BRAY,Luxembourg,2026-01-30 00:03:11.105455,,True,1
100,964706,Andrew,CONNER,USA,2026-01-30 00:03:11.105455,,True,1
101,601383,Andrew,DAVIS,Poland,2026-01-30 00:03:11.105455,,True,1
102,764827,Andrew,HALL,Luxembourg,2026-01-30 00:03:11.105455,,True,1
103,779815,Andrew,HARVEY,USA,2026-01-30 00:03:11.105455,,True,1
104,157772,Andrew,JOHNSON,Germany,2026-01-30 00:03:11.105455,,True,1
105,323936,Andrew,PONCE,Hong Kong,2026-01-30 00:03:11.105455,,True,1
106,323638,Andrew,ROBLES,Latvia,2026-01-30 00:03:11.105455,,True,1
107,110005,Andrew,THOMAS,Luxembourg,2026-01-30 00:03:11.105455,,True,1
108,236599,Andrew,BUCKLEY,Hong Kong,2026-01-30 00:03:11.105455,,True,1
109,882125,Andrew,GEORGE,Hong Kong,2026-01-30 00:03:11.105455,,True,1
110,995837,Andrew,MCINTOSH,USA,2026-01-30 00:03:11.105455,,True,1
111,824722,Andrew,REILLY,Poland,2026-01-30 00:03:11.105455,,True,1
112,159902,Andrew,SILVA,Luxembourg,2026-01-30 00:03:11.105455,,True,1
113,671365,Andrew,SMITH,Italy,2026-01-30 00:03:11.105455,,True,1
114,126182,Andrew,THOMAS,USA,2026-01-30 00:03:11.105455,,True,1
115,873938,Andrew,WHEELER,Germany,2026-01-30 00:03:11.105455,,True,1
116,452488,Angel,GARCIA,Poland,2026-01-30 00:03:11.105455,,True,1
117,372010,Angel,HOLT,Germany,2026-01-30 00:03:11.105455,,True,1
118,933307,Angel,ROSE,Germany,2026-01-30 00:03:11.105455,,True,1
119,308768,Angel,ROBBINS,Latvia,2026-01-30 00:03:11.105455,,True,1
120,543727,Angela,FREEMAN,USA,2026-01-30 00:03:11.105455,,True,1
121,174183,Angela,GARDNER,Latvia,2026-01-30 00:03:11.105455,,True,1
